DEPTH,FEATURE0,FEATURE1
127.10656139108205,432,1113
127.11763980115211,436,1112
127.12871821122216,436,1112
127.13979662129222,439,1109
127.15087503136226,443,1090
127.16195344143232,443,1107
127.17303185150237,440,1117
127.18411026157241,442,1210
127.19518867164247,442,1111
127.20626708171253,450,1089
127.21734549178258,448,1123
127.22842390185264,453,1119
127.23950231192268,457,1121
127.25058072199272,457,1121
127.26165913206279,462,1128
127.27273754213283,462,1126
127.28381595220289,464,1126
127.29489436227294,463,1110
127.30597277234298,466,1125
127.31705118241304,466,1124
127.3281295924831,468,1123
127.33920800255314,467,1132
127.35028641262319,155,1125
127.36136482269325,465,1152
127.3724432327633,401,1153
127.38352164283334,400,1132
127.3946000529034,401,1149
127.40567846297346,477,1160
127.41675687304351,479,1174
127.42783528311355,477,1188
127.43891369318361,481,1162
127.44999210325366,481,1110
127.4610705133237,483,1198
127.47214892339376,484,1200
127.48322733346382,485,1193
127.49430574353386,484,1184
127.50538415360391,488,1199
127.51646256367397,485,1202
127.52754097374401,482,1212
127.53861938381407,486,1202
127.54969779388412,489,1206
127.56077620395418,486,1207
127.57185461402423,511,1213
127.58293302409427,574,1221
127.59401143416433,557,1221
127.60508984423439,487,1215
127.61616825430443,488,1222
127.62724666437448,490,1139
127.63832507444454,485,1224
127.64940348451458,483,1123
127.66048189458463,484,1123
127.67156030465469,486,1155
127.68263871472473,479,1186
127.69371712479479,478,1201
127.70479553486484,136,1227
127.7158739449349,469,1154
127.72695235500495,401,1236
127.738030765075,469,1209
127.74910917514505,470,1202
127.7601875852151,464,1178
127.77126599528515,469,1112
127.7823444053552,485,1110
127.79342281542526,495,1110
127.8045012254953,463,1138
127.81557963556536,556,1138
127.82665804563541,465,1112
127.83773645570545,463,1233
127.84881486577551,480,1155
127.85989327584556,471,1139
127.87097168591562,474,1110
127.88205009598566,471,1139
127.89312850605572,470,1107
127.90420691612577,472,1224
127.91528532619583,484,1147
127.92636373626587,484,1138
127.93744214633593,494,1138
127.94852055640598,498,1123
127.95959896647602,500,1112
127.97067737654608,502,1155
127.98175578661613,509,1112
127.99283419668618,513,1139
128.00391260675624,515,1139
128.0149910168263,519,1193
128.02606942689633,523,1162
